idarticulo,codigo,nombre_articulo,precio_venta,stock,descripcion_articulo,imagen,estado_articulo,nombre_categoria,descripcion_categoria,estado_categoria
983040,wJKXOFMx,Cuadro Painting,642.32,53,Artículo Cuadro Painting en venta en tienda,fig_0,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
847887,0ZF78yvj,Mesa Last,707.98,67,Artículo Mesa Last en venta en tienda,fig_6,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
499726,MJmmMt0c,Mesa Nearly,804.4,84,Artículo Mesa Nearly en venta en tienda,fig_7,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
942113,GoxEvMVg,Mesa Money,155.12,27,Artículo Mesa Money en venta en tienda,fig_14,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
340001,rHx1PFyn,Cocina Spend,422.33,86,Artículo Cocina Spend en venta en tienda,fig_15,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
837676,y9DDLLJ2,Cocina Network,391.33,25,Artículo Cocina Network en venta en tienda,fig_19,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
694316,xecWrGX9,Silla Agent,481.49,22,Artículo Silla Agent en venta en tienda,fig_20,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
587830,17lRM1GH,Mesa Civil,166.16,84,Artículo Mesa Civil en venta en tienda,fig_25,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
395322,ply0DDv1,Jarrón Own,727.88,87,Artículo Jarrón Own en venta en tienda,fig_27,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
804947,bIq2Nyrt,Cama Cultural,634.2,9,Artículo Cama Cultural en venta en tienda,fig_34,1,Hogar y Decoracion,"Ofrece muebles para el hogar, articulos de decoracion como cuadros y jarrones, asi como utensilios de cocina y electrodomesticos.",1
