iddetalle_ingreso,cantidad,precio,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado_ingreso,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado_articulo
554592256,72,77.63,Factura,6632666,,2017-10-24,53.38,5620.75,Reembolsada,32684,hz7oe5cS,Lámpara Opportunity,77.63,71,Artículo Lámpara Opportunity en venta en tienda,fig_928,1
178550127,24,77.63,Factura,6632666,,2017-10-24,53.38,5620.75,Reembolsada,32684,hz7oe5cS,Lámpara Opportunity,77.63,71,Artículo Lámpara Opportunity en venta en tienda,fig_928,1
629893402,17,77.63,Factura,2982792,,2015-07-16,90.14,96204.87,Cancelada,32684,hz7oe5cS,Lámpara Opportunity,77.63,71,Artículo Lámpara Opportunity en venta en tienda,fig_928,1
774386291,81,77.63,Factura,8349831,,2023-10-13,60.65,91260.35,En proceso,32684,hz7oe5cS,Lámpara Opportunity,77.63,71,Artículo Lámpara Opportunity en venta en tienda,fig_928,1
126244576,90,541.54,Factura,6632666,,2017-10-24,53.38,5620.75,Reembolsada,40879,pc6KNQxt,Maquillaje Option,541.54,45,Artículo Maquillaje Option en venta en tienda,fig_653,1
363057153,52,748.48,Factura,5952512,,2015-10-18,38.38,77033.56,Pendiente,82016,KexYkYNz,Tenis Watch,748.48,95,Artículo Tenis Watch en venta en tienda,fig_529,1
694703559,0,748.48,Factura,3186779,,2021-08-21,13.48,27328.77,Pendiente,82016,KexYkYNz,Tenis Watch,748.48,95,Artículo Tenis Watch en venta en tienda,fig_529,1
468495634,19,474.88,Factura,5952512,,2015-10-18,38.38,77033.56,Pendiente,32684,gAbxBdUC,Alfombra End,474.88,72,Artículo Alfombra End en venta en tienda,fig_922,1
348558666,39,136.75,Factura,5952512,,2015-10-18,38.38,77033.56,Pendiente,97521,BjZqKJEI,Reloj Best,136.75,8,Artículo Reloj Best en venta en tienda,fig_176,1
519204581,35,136.75,Recibo,1271662,,2021-06-27,27.42,47659.69,Reembolsada,97521,BjZqKJEI,Reloj Best,136.75,8,Artículo Reloj Best en venta en tienda,fig_176,1
390481494,67,136.75,Factura,9522894,,2022-03-25,15.66,58468.85,Pendiente,97521,BjZqKJEI,Reloj Best,136.75,8,Artículo Reloj Best en venta en tienda,fig_176,1
541448192,10,836.43,Recibo,9547052,,2023-02-11,16.35,52582.52,Completada,32684,tOXi2FC3,Mesa Child,836.43,27,Artículo Mesa Child en venta en tienda,fig_784,1
318966458,26,836.43,Recibo,8258580,,2016-08-12,3.4,16624.64,Cancelada,32684,tOXi2FC3,Mesa Child,836.43,27,Artículo Mesa Child en venta en tienda,fig_784,1
725399810,28,871.41,Recibo,9547052,,2023-02-11,16.35,52582.52,Completada,39582,T5v8iJOq,Pantalón Experience,871.41,22,Artículo Pantalón Experience en venta en tienda,fig_496,1
206996011,22,435.14,Recibo,9547052,,2023-02-11,16.35,52582.52,Completada,32684,Bl8W9d5U,Jarrón Later,435.14,61,Artículo Jarrón Later en venta en tienda,fig_595,1
626491394,77,47.44,Nota de Crédito,8268989,,2023-04-22,57.62,62737.54,En proceso,82016,MAR9UsQH,Zapatos Cause,47.44,85,Artículo Zapatos Cause en venta en tienda,fig_8,1
755480581,90,716.25,Nota de Débito,8330081,,2017-03-25,17.96,34313.83,Reembolsada,32684,Ik2H4GEd,Mesa Wind,716.25,92,Artículo Mesa Wind en venta en tienda,fig_783,1
704884965,57,716.25,Nota de Crédito,8319041,,2021-06-23,14.31,50239.23,Completada,32684,Ik2H4GEd,Mesa Wind,716.25,92,Artículo Mesa Wind en venta en tienda,fig_783,1
242227621,86,716.25,Nota de Débito,1319730,,2017-08-23,80.55,22128.93,En proceso,32684,Ik2H4GEd,Mesa Wind,716.25,92,Artículo Mesa Wind en venta en tienda,fig_783,1
403229135,53,716.25,Recibo,6545489,,2023-01-15,45.68,83817.26,Completada,32684,Ik2H4GEd,Mesa Wind,716.25,92,Artículo Mesa Wind en venta en tienda,fig_783,1
939911396,91,686.83,Nota de Débito,8330081,,2017-03-25,17.96,34313.83,Reembolsada,40879,GCMShiHP,Maquillaje Growth,686.83,29,Artículo Maquillaje Growth en venta en tienda,fig_191,1
109174796,29,56.98,Nota de Débito,9062572,,2015-05-20,10.49,82223.49,Cancelada,82016,Q4E0yUAK,Tenis Official,56.98,46,Artículo Tenis Official en venta en tienda,fig_856,1
601720781,99,56.98,Ticket de Venta,2203454,,2015-09-28,3.72,13665.17,Completada,82016,Q4E0yUAK,Tenis Official,56.98,46,Artículo Tenis Official en venta en tienda,fig_856,1
638740083,2,586.03,Nota de Débito,9062572,,2015-05-20,10.49,82223.49,Cancelada,97521,aaDqYNLX,Anillo Present,586.03,98,Artículo Anillo Present en venta en tienda,fig_574,1
241528301,44,586.03,Ticket de Venta,7155714,,2018-01-10,72.35,7016.36,Pendiente,97521,aaDqYNLX,Anillo Present,586.03,98,Artículo Anillo Present en venta en tienda,fig_574,1
761679885,10,310.94,Nota de Crédito,1687456,,2022-02-25,50.82,64263.58,Pendiente,32684,iv6kswXl,Cuadro Policy,310.94,14,Artículo Cuadro Policy en venta en tienda,fig_187,1
595026557,50,860.07,Nota de Crédito,1687456,,2022-02-25,50.82,64263.58,Pendiente,75369,tCHyz0c7,Teléfono Chair,860.07,45,Artículo Teléfono Chair en venta en tienda,fig_567,1
244829799,11,860.07,Ticket de Venta,3636270,,2016-05-12,1.94,58266.69,Reembolsada,75369,tCHyz0c7,Teléfono Chair,860.07,45,Artículo Teléfono Chair en venta en tienda,fig_567,1
222061199,64,860.07,Nota de Débito,1855065,,2018-10-25,12.15,13817.94,Completada,75369,tCHyz0c7,Teléfono Chair,860.07,45,Artículo Teléfono Chair en venta en tienda,fig_567,1
200384250,18,860.07,Recibo,4535907,,2015-07-10,49.43,74051.2,Pendiente,75369,tCHyz0c7,Teléfono Chair,860.07,45,Artículo Teléfono Chair en venta en tienda,fig_567,1
527194124,73,275.48,Nota de Crédito,6394224,,2018-08-24,35.85,9657.37,En proceso,39582,6Cenyhh1,Camisa Garden,275.48,77,Artículo Camisa Garden en venta en tienda,fig_226,1
595879581,94,61.18,Nota de Crédito,6394224,,2018-08-24,35.85,9657.37,En proceso,39582,G8P05DKH,Pantalón Teacher,61.18,76,Artículo Pantalón Teacher en venta en tienda,fig_43,1
100702223,84,837.4,Nota de Crédito,5474891,,2019-05-02,57.46,2192.09,Cancelada,32684,d7i5apxW,Cama Adult,837.4,52,Artículo Cama Adult en venta en tienda,fig_349,1
454856447,79,837.4,Boleta de Venta,7237993,,2018-09-19,56.15,43519.25,Completada,32684,d7i5apxW,Cama Adult,837.4,52,Artículo Cama Adult en venta en tienda,fig_349,1
797561670,25,442.44,Nota de Crédito,5474891,,2019-05-02,57.46,2192.09,Cancelada,39582,tVaZRceu,Vestido Each,442.44,42,Artículo Vestido Each en venta en tienda,fig_849,1
605311821,47,219.79,Nota de Crédito,5474891,,2019-05-02,57.46,2192.09,Cancelada,13750,qPNvQ15R,Libro Quite,219.79,37,Artículo Libro Quite en venta en tienda,fig_143,1
416383169,87,219.79,Nota de Débito,3480178,,2017-03-26,22.38,32448.67,En proceso,13750,qPNvQ15R,Libro Quite,219.79,37,Artículo Libro Quite en venta en tienda,fig_143,1
559366160,45,798.64,Factura,8170437,,2018-06-12,11.46,66511.11,Reembolsada,13750,aqRD87PW,Libro Response,798.64,63,Artículo Libro Response en venta en tienda,fig_880,1
828389497,53,71.76,Factura,8170437,,2018-06-12,11.46,66511.11,Reembolsada,51470,HzZoOV3S,Pelota Able,71.76,23,Artículo Pelota Able en venta en tienda,fig_426,1
227430033,42,83.67,Factura,8170437,,2018-06-12,11.46,66511.11,Reembolsada,32684,at1KRK4I,Silla Worker,83.67,40,Artículo Silla Worker en venta en tienda,fig_851,1
978133008,96,772.99,Recibo,9641619,,2023-04-26,4.88,16300.15,En proceso,64218,oTg8ziaC,Galleta Baby,772.99,86,Artículo Galleta Baby en venta en tienda,fig_967,1
226597163,43,700.11,Recibo,9641619,,2023-04-26,4.88,16300.15,En proceso,75369,HqyRdpvT,Teléfono Mission,700.11,9,Artículo Teléfono Mission en venta en tienda,fig_67,1
794637635,8,700.11,Nota de Crédito,3196084,,2015-07-27,20.47,15333.57,Reembolsada,75369,HqyRdpvT,Teléfono Mission,700.11,9,Artículo Teléfono Mission en venta en tienda,fig_67,1
