iddetalle_venta,cantidad,precio,descuento,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado_venta,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado_articulo
4096006,65,573.12,357.44,Ticket de Venta,7805814,56113962,2023-04-07,52.59,37535.91,Reembolsada,40879,MZybOuGz,Perfume Public,573.12,7,Artículo Perfume Public en venta en tienda,fig_398,1
7549374,43,573.12,114.24,Ticket de Venta,3302553,88423546,2018-02-22,21.09,28862.28,En proceso,40879,MZybOuGz,Perfume Public,573.12,7,Artículo Perfume Public en venta en tienda,fig_398,1
5146385,27,573.12,683.13,Recibo,3827757,97994785,2016-10-11,92.32,55265.83,Completada,40879,MZybOuGz,Perfume Public,573.12,7,Artículo Perfume Public en venta en tienda,fig_398,1
5947354,26,573.12,825.77,Ticket de Venta,8606440,34222761,2020-12-13,55.19,20974.22,Reembolsada,40879,MZybOuGz,Perfume Public,573.12,7,Artículo Perfume Public en venta en tienda,fig_398,1
3973137,87,573.12,789.2,Nota de Débito,9532676,66856154,2015-11-17,70.69,61993.96,Cancelada,40879,MZybOuGz,Perfume Public,573.12,7,Artículo Perfume Public en venta en tienda,fig_398,1
5726134,55,573.12,17.43,Nota de Crédito,4374737,65665219,2016-06-12,93.21,9757.95,Cancelada,40879,MZybOuGz,Perfume Public,573.12,7,Artículo Perfume Public en venta en tienda,fig_398,1
4280317,35,573.12,221.64,Nota de Débito,3334096,84580305,2021-08-17,36.75,22362.11,En proceso,40879,MZybOuGz,Perfume Public,573.12,7,Artículo Perfume Public en venta en tienda,fig_398,1
6682661,11,573.12,805.93,Ticket de Venta,9882846,83483848,2016-04-24,2.1,74581.07,Completada,40879,MZybOuGz,Perfume Public,573.12,7,Artículo Perfume Public en venta en tienda,fig_398,1
9833767,40,233.66,521.99,Ticket de Venta,7805814,56113962,2023-04-07,52.59,37535.91,Reembolsada,75369,LFG1gljK,Teléfono Avoid,233.66,33,Artículo Teléfono Avoid en venta en tienda,fig_422,1
9857849,67,233.66,705.34,Nota de Débito,1414295,82420857,2018-06-26,13.7,43692.96,Cancelada,75369,LFG1gljK,Teléfono Avoid,233.66,33,Artículo Teléfono Avoid en venta en tienda,fig_422,1
9882919,79,233.66,233.27,Boleta de Venta,9077175,19450221,2021-11-06,28.97,34557.7,Pendiente,75369,LFG1gljK,Teléfono Avoid,233.66,33,Artículo Teléfono Avoid en venta en tienda,fig_422,1
9293508,90,233.66,360.81,Nota de Crédito,6477087,80168172,2022-01-02,87.96,6022.9,En proceso,75369,LFG1gljK,Teléfono Avoid,233.66,33,Artículo Teléfono Avoid en venta en tienda,fig_422,1
3920919,59,233.66,412.58,Nota de Crédito,9197898,85559571,2018-11-12,23.58,38824.33,Pendiente,75369,LFG1gljK,Teléfono Avoid,233.66,33,Artículo Teléfono Avoid en venta en tienda,fig_422,1
5396956,74,568.61,195.46,Ticket de Venta,7805814,56113962,2023-04-07,52.59,37535.91,Reembolsada,75369,5w3RWhAI,Tableta Spring,568.61,34,Artículo Tableta Spring en venta en tienda,fig_160,1
6687251,82,568.61,927.26,Boleta de Venta,7102043,60624418,2016-04-28,52.6,43697.05,Reembolsada,75369,5w3RWhAI,Tableta Spring,568.61,34,Artículo Tableta Spring en venta en tienda,fig_160,1
7748975,97,568.61,114.72,Nota de Débito,4885039,51665382,2022-07-12,98.31,35409.98,Reembolsada,75369,5w3RWhAI,Tableta Spring,568.61,34,Artículo Tableta Spring en venta en tienda,fig_160,1
5502165,57,568.61,828.51,Nota de Crédito,1038788,33864045,2018-02-16,98.1,50551.31,Pendiente,75369,5w3RWhAI,Tableta Spring,568.61,34,Artículo Tableta Spring en venta en tienda,fig_160,1
