fecha,year,month,quarter,day,week,dayofweek,is_weekend,id_fecha
2021-06-20,2021,6,2,20,24,6,1,2021620
2015-09-24,2015,9,3,24,39,3,0,2015924
2019-06-24,2019,6,2,24,26,0,0,2019624
2015-12-24,2015,12,4,24,52,3,0,20151224
2018-03-03,2018,3,1,3,9,5,0,201833
2018-02-04,2018,2,1,4,5,6,1,201824
2016-11-09,2016,11,4,9,45,2,0,2016119
2017-09-17,2017,9,3,17,37,6,1,2017917
2023-07-11,2023,7,3,11,28,1,0,2023711
2017-07-03,2017,7,3,3,27,0,0,201773
2020-06-10,2020,6,2,10,24,2,0,2020610
2022-09-24,2022,9,3,24,38,5,0,2022924
2022-10-23,2022,10,4,23,42,6,1,20221023
2016-12-01,2016,12,4,1,48,3,0,2016121
2019-12-16,2019,12,4,16,51,0,0,20191216
2022-06-03,2022,6,2,3,22,4,0,202263
2017-08-21,2017,8,3,21,34,0,0,2017821
2016-01-08,2016,1,1,8,1,4,0,201618
2018-03-08,2018,3,1,8,10,3,0,201838
2023-05-24,2023,5,2,24,21,2,0,2023524
2019-04-11,2019,4,2,11,15,3,0,2019411
2020-07-17,2020,7,3,17,29,4,0,2020717
2017-07-28,2017,7,3,28,30,4,0,2017728
2021-06-28,2021,6,2,28,26,0,0,2021628
2018-04-08,2018,4,2,8,14,6,1,201848
2015-09-21,2015,9,3,21,39,0,0,2015921
2020-08-01,2020,8,3,1,31,5,0,202081
2015-12-31,2015,12,4,31,53,3,0,20151231
2019-03-14,2019,3,1,14,11,3,0,2019314
2019-06-18,2019,6,2,18,25,1,0,2019618
2022-03-23,2022,3,1,23,12,2,0,2022323
2015-06-05,2015,6,2,5,23,4,0,201565
2021-05-19,2021,5,2,19,20,2,0,2021519
2018-11-26,2018,11,4,26,48,0,0,20181126
2018-02-21,2018,2,1,21,8,2,0,2018221
2017-05-21,2017,5,2,21,20,6,1,2017521
2019-01-23,2019,1,1,23,4,2,0,2019123
2023-10-14,2023,10,4,14,41,5,0,20231014
2017-10-29,2017,10,4,29,43,6,1,20171029
2017-11-24,2017,11,4,24,47,4,0,20171124
2021-09-26,2021,9,3,26,38,6,1,2021926
2017-03-17,2017,3,1,17,11,4,0,2017317
2015-02-25,2015,2,1,25,9,2,0,2015225
2022-01-08,2022,1,1,8,1,5,0,202218
2023-03-14,2023,3,1,14,11,1,0,2023314
2018-12-03,2018,12,4,3,49,0,0,2018123
2023-06-08,2023,6,2,8,23,3,0,202368
2019-09-19,2019,9,3,19,38,3,0,2019919
2017-09-28,2017,9,3,28,39,3,0,2017928
2020-01-06,2020,1,1,6,2,0,0,202016
2016-09-06,2016,9,3,6,36,1,0,201696
2016-07-21,2016,7,3,21,29,3,0,2016721
2015-03-24,2015,3,1,24,13,1,0,2015324
2023-01-29,2023,1,1,29,4,6,1,2023129
2017-11-09,2017,11,4,9,45,3,0,2017119
2021-10-12,2021,10,4,12,41,1,0,20211012
2016-12-30,2016,12,4,30,52,4,0,20161230
2016-11-25,2016,11,4,25,47,4,0,20161125
2021-04-05,2021,4,2,5,14,0,0,202145
2017-03-12,2017,3,1,12,10,6,1,2017312
2022-05-20,2022,5,2,20,20,4,0,2022520
2023-11-09,2023,11,4,9,45,3,0,2023119
2020-05-20,2020,5,2,20,21,2,0,2020520
2015-01-19,2015,1,1,19,4,0,0,2015119
2019-04-05,2019,4,2,5,14,4,0,201945
2019-02-04,2019,2,1,4,6,0,0,201924
2022-02-05,2022,2,1,5,5,5,0,202225
2022-03-19,2022,3,1,19,11,5,0,2022319
2022-04-01,2022,4,2,1,13,4,0,202241
2020-12-27,2020,12,4,27,52,6,1,20201227
2015-01-26,2015,1,1,26,5,0,0,2015126
2023-12-06,2023,12,4,6,49,2,0,2023126
2019-06-20,2019,6,2,20,25,3,0,2019620
2018-04-26,2018,4,2,26,17,3,0,2018426
2022-04-05,2022,4,2,5,14,1,0,202245
2021-12-30,2021,12,4,30,52,3,0,20211230
2023-08-02,2023,8,3,2,31,2,0,202382
2015-02-13,2015,2,1,13,7,4,0,2015213
2023-07-27,2023,7,3,27,30,3,0,2023727
2019-01-07,2019,1,1,7,2,0,0,201917
2021-04-06,2021,4,2,6,14,1,0,202146
2022-02-03,2022,2,1,3,5,3,0,202223
2020-09-05,2020,9,3,5,36,5,0,202095
2018-06-05,2018,6,2,5,23,1,0,201865
2019-01-01,2019,1,1,1,1,1,0,201911
2019-03-22,2019,3,1,22,12,4,0,2019322
2018-03-15,2018,3,1,15,11,3,0,2018315
2016-10-30,2016,10,4,30,43,6,1,20161030
2019-04-19,2019,4,2,19,16,4,0,2019419
2017-01-11,2017,1,1,11,2,2,0,2017111
